code ,total,region ,sub region ,country 
B05006PR_014E,Total,Asia,Eastern Asia,Taiwan
B05006PR_015E,Total,Asia,Eastern Asia,Korea
B05006PR_016E,Total,Asia,Eastern Asia,Other Eastern Asia
B05006PR_017E,Total,Asia,South Central Asia,
B05006PR_018E,Total,Asia,South Eastern Asia,
B05006PR_019E,Total,Asia,Western Asia,
B05006PR_020E,Total,Asia,"Asia,n.e.c.",
B05006PR_021E,Total,Africa,,
B05006PR_022E,Total,Oceania,,
B05006PR_023E,Total,Americas,,
B05006PR_024E,Total,Americas,Latin America,
B05006PR_025E,Total,Americas,Latin America,Caribbean
B05006PR_026E,Total,Americas,Latin America,Cuba
B05006PR_027E,Total,Americas,Latin America,Dominican Republic
B05006PR_028E,Total,Americas,Latin America,Haiti
B05006PR_029E,Total,Americas,Latin America,Other Caribbean
B05006PR_030E,Total,Americas,Latin America,Central America
B05006PR_031E,Total,Americas,Latin America,Mexico
B05006PR_032E,Total,Americas,Latin America,Costa Rica
B05006PR_033E,Total,Americas,Latin America,El Salvador
B05006PR_034E,Total,Americas,Latin America,Guatemala
B05006PR_035E,Total,Americas,Latin America,Honduras
B05006PR_036E,Total,Americas,Latin America,Panama
B05006PR_037E,Total,Americas,Latin America,Other Central America
B05006PR_038E,Total,Americas,Latin America,South America
B05006PR_039E,Total,Americas,Latin America,Argentina
B05006PR_040E,Total,Americas,Latin America,Chile
B05006PR_041E,Total,Americas,Latin America,Colombia
B05006PR_042E,Total,Americas,Latin America,Ecuador
B05006PR_043E,Total,Americas,Latin America,Peru
B05006PR_044E,Total,Americas,Latin America,Venezuela
B05006PR_045E,Total,Americas,Latin America,Other South America
B05006PR_046E,Total,Americas,Northern America,
B05007_001E,Total,,,
